anime_id,Name,English name,Score,Genres,Type,Episodes,Aired,Premiered,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Image URL
1,Cowboy Bebop,Cowboy Bebop,8.75,"Action, Award Winning, Sci-Fi",TV,26,"Apr 3, 1998 to Apr 24, 1999",spring 1998,Finished Airing,Bandai Visual,"Funimation, Bandai Entertainment",Sunrise,Original,24 min per ep,R - 17+ (violence & profanity),41,43,78525,914193,1771505,https://cdn.myanimelist.net/images/anime/4/19644.jpg
5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,8.38,"Action, Sci-Fi",Movie,1,"Sep 1, 2001",UNKNOWN,Finished Airing,"Sunrise, Bandai Visual",Sony Pictures Entertainment,Bones,Original,1 hr 55 min,R - 17+ (violence & profanity),189,602,1448,206248,360978,https://cdn.myanimelist.net/images/anime/1439/93480.jpg
6,Trigun,Trigun,8.22,"Action, Adventure, Sci-Fi",TV,26,"Apr 1, 1998 to Sep 30, 1998",spring 1998,Finished Airing,Victor Entertainment,"Funimation, Geneon Entertainment USA",Madhouse,Manga,24 min per ep,PG-13 - Teens 13 or older,328,246,15035,356739,727252,https://cdn.myanimelist.net/images/anime/7/20310.jpg
7,Witch Hunter Robin,Witch Hunter Robin,7.25,"Action, Drama, Mystery, Supernatural",TV,26,"Jul 3, 2002 to Dec 25, 2002",summer 2002,Finished Airing,"Bandai Visual, Dentsu, Victor Entertainment, TV Tokyo Music","Funimation, Bandai Entertainment",Sunrise,Original,25 min per ep,PG-13 - Teens 13 or older,2764,1795,613,42829,111931,https://cdn.myanimelist.net/images/anime/10/19969.jpg
8,Bouken Ou Beet,Beet the Vandel Buster,6.94,"Adventure, Fantasy, Supernatural",TV,52,"Sep 30, 2004 to Sep 29, 2005",fall 2004,Finished Airing,"TV Tokyo, Dentsu",Illumitoon Entertainment,Toei Animation,Manga,23 min per ep,PG - Children,4240,5126,14,6413,15001,https://cdn.myanimelist.net/images/anime/7/21569.jpg
15,Eyeshield 21,UNKNOWN,7.92,Sports,TV,145,"Apr 6, 2005 to Mar 19, 2008",spring 2005,Finished Airing,"TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha","VIZ Media, Sentai Filmworks",Gallop,Manga,23 min per ep,PG-13 - Teens 13 or older,688,1252,1997,86524,177688,https://cdn.myanimelist.net/images/anime/1079/133529.jpg
16,Hachimitsu to Clover,Honey and Clover,8,"Comedy, Drama, Romance",TV,24,"Apr 15, 2005 to Sep 27, 2005",spring 2005,Finished Airing,"Dentsu, Genco, Fuji TV, Asmik Ace, Shueisha","VIZ Media, Discotek Media",J.C.Staff,Manga,23 min per ep,PG-13 - Teens 13 or older,589,862,4136,81747,260166,https://cdn.myanimelist.net/images/anime/1301/133577.jpg
17,Hungry Heart: Wild Striker,UNKNOWN,7.55,"Comedy, Slice of Life, Sports",TV,52,"Sep 11, 2002 to Sep 10, 2003",fall 2002,Finished Airing,UNKNOWN,UNKNOWN,Nippon Animation,Manga,23 min per ep,PG-13 - Teens 13 or older,1551,4212,237,12960,24172,https://cdn.myanimelist.net/images/anime/12/49655.jpg
18,Initial D Fourth Stage,UNKNOWN,8.16,"Action, Drama",TV,24,"Apr 17, 2004 to Feb 18, 2006",spring 2004,Finished Airing,"OB Planning, Studio Jack",Funimation,A.C.G.T.,Manga,27 min per ep,PG-13 - Teens 13 or older,393,1273,1237,97878,173710,https://cdn.myanimelist.net/images/anime/9/10521.jpg
19,Monster,Monster,8.87,"Drama, Mystery, Suspense",TV,74,"Apr 7, 2004 to Sep 28, 2005",spring 2004,Finished Airing,"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",VIZ Media,Madhouse,Manga,24 min per ep,R+ - Mild Nudity,26,142,47235,368569,1013100,https://cdn.myanimelist.net/images/anime/10/18793.jpg
20,Naruto,Naruto,7.99,"Action, Adventure, Fantasy",TV,220,"Oct 3, 2002 to Feb 8, 2007",fall 2002,Finished Airing,"TV Tokyo, Aniplex, Shueisha",VIZ Media,Pierrot,Manga,23 min per ep,PG-13 - Teens 13 or older,599,8,76343,1883772,2717330,https://cdn.myanimelist.net/images/anime/13/17405.jpg
21,One Piece,One Piece,8.69,"Action, Adventure, Fantasy",TV,UNKNOWN,"Oct 20, 1999 to ?",fall 1999,Currently Airing,"Fuji TV, TAP, Shueisha","Funimation, 4Kids Entertainment",Toei Animation,Manga,24 min,PG-13 - Teens 13 or older,55,20,198986,1226493,2168904,https://cdn.myanimelist.net/images/anime/6/73245.jpg
22,Tennis no Ouji-sama,The Prince of Tennis,7.86,Sports,TV,178,"Oct 10, 2001 to Mar 23, 2005",fall 2001,Finished Airing,"Production I.G, Nihon Ad Systems","Funimation, VIZ Media",Trans Arts,Manga,22 min per ep,PG-13 - Teens 13 or older,805,1246,3004,81992,178273,https://cdn.myanimelist.net/images/anime/6/21624.jpg
23,Ring ni Kakero 1,UNKNOWN,6.39,"Action, Sports",TV,12,"Oct 6, 2004 to Dec 15, 2004",fall 2004,Finished Airing,UNKNOWN,UNKNOWN,Toei Animation,Manga,25 min per ep,PG - Children,6943,8288,6,1378,4581,https://cdn.myanimelist.net/images/anime/1146/124743.jpg
24,School Rumble,School Rumble,7.89,"Comedy, Romance",TV,26,"Oct 5, 2004 to Mar 29, 2005",fall 2004,Finished Airing,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Funimation,Studio Comet,Manga,23 min per ep,PG-13 - Teens 13 or older,756,687,5139,146597,320203,https://cdn.myanimelist.net/images/anime/4/75488.jpg
25,Sunabouzu,Desert Punk,7.38,"Action, Adventure, Comedy, Sci-Fi, Ecchi",TV,24,"Oct 6, 2004 to Mar 30, 2005",fall 2004,Finished Airing,"GDH, Pony Canyon, CBC Television",Funimation,Gonzo,Manga,24 min per ep,R - 17+ (violence & profanity),2167,1546,822,53709,134894,https://cdn.myanimelist.net/images/anime/6/75536.jpg
26,Texhnolyze,Texhnolyze,7.76,"Action, Drama, Sci-Fi",TV,22,"Apr 17, 2003 to Sep 25, 2003",spring 2003,Finished Airing,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Original,23 min per ep,R+ - Mild Nudity,990,935,4786,54857,239423,https://cdn.myanimelist.net/images/anime/1027/131977.jpg
